date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:01	80378/80378	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202023%2016:43:42%20GMT	https://www.eurofert-egypt.com/index.html	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/index.html	(from )
09:08:02	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Nov%202023%2007:08:01%20GMT	https://www.eurofert-egypt.com/robots.txt		(from )
09:08:02	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Nov%202023%2007:08:01%20GMT	https://www.eurofert-egypt.com/xmlrpc.php	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/xmlrpc.php	(from https://www.eurofert-egypt.com/index.html)
09:08:02	4977/4977	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202023%2016:45:08%20GMT	https://www.eurofert-egypt.com/feed/feed.html	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/feed/feed.html	(from https://www.eurofert-egypt.com/index.html)
09:08:03	738/738	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202023%2016:44:07%20GMT	https://www.eurofert-egypt.com/comments/feed/feed.html	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/comments/feed/feed.html	(from https://www.eurofert-egypt.com/index.html)
09:08:03	3447/3447	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Nov%202023%2016:44:29%20GMT	https://www.eurofert-egypt.com/eufincludes/Text/Diff/Renderer/Others/apps/theme-my-login/theme-my-login.css	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/eufincludes/Text/Diff/Renderer/Others/apps/theme-my-login/theme-my-login.css	(from https://www.eurofert-egypt.com/index.html)
09:08:03	46360/46360	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Nov%202023%2016:44:16%20GMT	https://www.eurofert-egypt.com/eufincludes/css/dashicons.min.css	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/eufincludes/css/dashicons.min.css	(from https://www.eurofert-egypt.com/index.html)
09:08:03	13770/13770	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Nov%202023%2016:44:33%20GMT	https://www.eurofert-egypt.com/eufincludes/Text/Diff/Renderer/Others/apps/mappress-google-maps-for-euroferts/css/mappress.css	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/eufincludes/Text/Diff/Renderer/Others/apps/mappress-google-maps-for-euroferts/css/mappress.css	(from https://www.eurofert-egypt.com/index.html)
09:08:04	83524/83524	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Nov%202023%2016:44:30%20GMT	https://www.eurofert-egypt.com/eufincludes/Text/Diff/Renderer/Others/themes/eurofert/style.css	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/eufincludes/Text/Diff/Renderer/Others/themes/eurofert/style.css	(from https://www.eurofert-egypt.com/index.html)
09:08:04	97184/97184	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2018%20Nov%202023%2016:44:21%20GMT	https://www.eurofert-egypt.com/eufincludes/js/jquery/jquery.js	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/eufincludes/js/jquery/jquery.js	(from https://www.eurofert-egypt.com/index.html)
09:08:05	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2018%20Nov%202023%2016:44:20%20GMT	https://www.eurofert-egypt.com/eufincludes/js/jquery/jquery-migrate.min.js	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/eufincludes/js/jquery/jquery-migrate.min.js	(from https://www.eurofert-egypt.com/index.html)
09:08:05	252/252	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20Nov%202023%2016:44:42%20GMT	https://www.eurofert-egypt.com/eufincludes/Text/Diff/Renderer/Others/apps/the-preloader/js/preloader-script.js	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/eufincludes/Text/Diff/Renderer/Others/apps/the-preloader/js/preloader-script.js	(from https://www.eurofert-egypt.com/index.html)
09:08:05	52724/52724	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202023%2016:47:04%20GMT	https://www.eurofert-egypt.com/wp-json/wp-json.html	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/wp-json/wp-json.html	(from https://www.eurofert-egypt.com/index.html)
09:08:06	866/866	---M-Z	200	added ('OK')	application/xml	date:Sat,%2018%20Nov%202023%2016:43:50%20GMT	https://www.eurofert-egypt.com/xmlrpc.xml	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/xmlrpc.xml	(from https://www.eurofert-egypt.com/index.html)
09:08:06	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Sat,%2018%20Nov%202023%2016:44:12%20GMT	https://www.eurofert-egypt.com/eufincludes/wlwmanifest.xml	C:/Users/Mahmoud%20Elbehery/Desktop/Programing/Road_Maps/EuroFert/www.eurofert-egypt.com/eufincludes/wlwmanifest.xml	(from https://www.eurofert-egypt.com/index.html)
